1,全辨悼,2,3,4,3,2,1,2,3,4,3,1,2,3,4,3,2,1,2,4,3
7,全辨辑,2,3,4,3,2,1,2,3,4,3,1,2,3,4,3,2,1,2,4,3
10,全辨巢,4,1,4,3,2,1,2,2,4,3,1,2,3,4,3,2,1,2,4,3
4,全辨合,2,2,4,3,2,1,2,3,2,3,1,2,3,4,3,2,1,2,4,3
5,全老悼,1,3,1,3,2,1,1,3,3,3,1,2,3,4,3,2,1,2,4,2
6,全捞悼,1,3,2,3,2,1,2,3,4,3,1,2,3,4,3,2,1,2,4,3
2,全伙悼,2,3,3,3,2,1,3,3,4,3,1,2,2,4,3,2,1,2,4,3
8,全荤悼,2,3,4,3,2,1,2,3,4,3,1,2,3,4,3,2,1,2,4,3
9,全坷悼,3,4,3,3,2,2,2,3,4,3,1,2,3,4,1,2,3,2,4,3
3,全腊悼,2,3,4,2,2,1,2,3,4,3,1,2,3,4,1,2,2,2,4,3
11,全磨悼,2,3,4,1,2,2,2,3,4,3,1,2,3,4,3,2,1,2,4,3
